label,tweet,rekomendasi_makanan
anger,"Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]"""";","Tahu bulat, Rujak buah, Sosis bakar"
anger,"Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat."""";","Ayam teriyaki, Tahu isi, Bihun goreng"
happy,"Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah."""";","Brownies, Bubble tea, Es krim vanila"
anger,"Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]"""";","Kerupuk udang, Siomay, Keripik singkong"
happy,"Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]"""";","Kentang spiral, Kue sus, Nasi kuning"
anger,"Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain """"""""lebay"""""""" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya."""";","Telur balado, Burger ayam, Jus jambu"
sadness,"Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu."""";","Teh tarik, Susu hangat, Es susu cokelat"
anger,"Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja."""";","Kari ayam, Tempe mendoan, Kebab"
anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]"""";","Kwetiau goreng, Nasi goreng, Martabak telur"
happy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h"""";","Kue cubit, Fruit tart, Milkshake stroberi"
anger,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]"""";","Ayam bakar madu, Nugget ayam, Es teh manis"
love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat"""";","Es soda gembira, Cokelat truffle, Cake stroberi"
happy,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia """";","Kue donat mini, Roti isi cokelat, Es krim matcha"
